model,gene,variable,estimate,statistic,pval,FDR,model_group,variable_group
mlHDL,J774.ind,(1 | FULLIDNO),1.9648617997693805,NA,0.16099431077901874,0.24845245276880026,HDL,(1 | FULLIDNO)
mlHDL,ABCA1.spec,mlHDL,-1.1932941004872881,3.4843031303799137,0.06195344086852805,0.4336740860796963,HDL,HDL
mlHDL,ABCA1.spec,avgBMI,0.08143700581177336,1.5531575271566398,0.21266990906738717,0.5834892465547277,HDL,avgBMI
mlHDL,ABCA1.spec,KCHCA_AGE_YR_CURRENT,0.06921699641173393,4.712360491130395,0.029946505570130743,0.03961544137451067,HDL,KCHCA_AGE_YR_CURRENT
mlHDL,ABCA1.spec,M0_KCVSEX,0.5359890684180059,0.7770313113758078,0.37805061077949614,0.8158920698773925,HDL,M0_KCVSEX
mlHDL,ABCA1.spec,(1 | FULLIDNO),1.7820547683324435,NA,0.18189721502413486,0.27813551570173095,HDL,(1 | FULLIDNO)
mHDL,J774.ind,mHDL,0.45067632135004076,3.7991668712582234,0.051278091369983174,0.1794733197949411,HDL,HDL
mHDL,J774.ind,avgBMI,-0.06141132842111805,1.4346084560533985,0.2310138060272376,0.6361877730301996,HDL,avgBMI
mHDL,J774.ind,KCHCA_AGE_YR_CURRENT,0.04031786692049353,2.6552019402298184,0.10321164855858588,0.16989700345278258,HDL,KCHCA_AGE_YR_CURRENT
mHDL,J774.ind,M0_KCVSEX,-0.5184696568507277,1.2556567545210466,0.262474811646921,0.3489849528974453,HDL,M0_KCVSEX
mHDL,J774.ind,(1 | FULLIDNO),1.3319846524052537,NA,0.24845245276880026,0.24845245276880026,HDL,(1 | FULLIDNO)
mHDL,ABCA1.spec,mHDL,-0.13402211526296834,0.19201833575625651,0.6612420564614339,0.6612420564614339,HDL,HDL
mHDL,ABCA1.spec,avgBMI,0.06889745012036753,1.0319879294806853,0.3096922171448749,0.5834892465547277,HDL,avgBMI
mHDL,ABCA1.spec,KCHCA_AGE_YR_CURRENT,0.06940485368510634,4.496913418326642,0.03395609260672343,0.03961544137451067,HDL,KCHCA_AGE_YR_CURRENT
mHDL,ABCA1.spec,M0_KCVSEX,0.3316589824099111,0.2936552099368006,0.587887651076079,0.8158920698773925,HDL,M0_KCVSEX
mHDL,ABCA1.spec,(1 | FULLIDNO),1.6521377203486622,NA,0.19866822550123642,0.27813551570173095,HDL,(1 | FULLIDNO)
sHDL,J774.ind,sHDL,0.041601713392840696,0.015279867701450761,0.9016226791980148,0.9016226791980148,HDL,HDL
sHDL,J774.ind,avgBMI,-0.04164441019811879,0.5596040077020847,0.45441983787871404,0.6361877730301996,HDL,avgBMI
sHDL,J774.ind,KCHCA_AGE_YR_CURRENT,0.04392035666453538,2.958862720560612,0.08540799462613273,0.16989700345278258,HDL,KCHCA_AGE_YR_CURRENT
sHDL,J774.ind,M0_KCVSEX,-0.4981470331351925,1.078068893690623,0.29912995962638167,0.3489849528974453,HDL,M0_KCVSEX
sHDL,J774.ind,(1 | FULLIDNO),2.2003637935334837,NA,0.1379781709761188,0.24845245276880026,HDL,(1 | FULLIDNO)
sHDL,ABCA1.spec,sHDL,0.44628810862228785,1.0756922020829474,0.2996632424940297,0.524410674364552,HDL,HDL
sHDL,ABCA1.spec,avgBMI,0.033738372123803324,0.22468625363285916,0.6354921943616555,0.6541128720631869,HDL,avgBMI
sHDL,ABCA1.spec,KCHCA_AGE_YR_CURRENT,0.07221317081589675,4.893134174118086,0.026963694894793066,0.03961544137451067,HDL,KCHCA_AGE_YR_CURRENT
sHDL,ABCA1.spec,M0_KCVSEX,0.2369115457124204,0.14916347157740437,0.6993360598949078,0.8158920698773925,HDL,M0_KCVSEX
sHDL,ABCA1.spec,(1 | FULLIDNO),1.2990118323629076,NA,0.2543938026924661,0.28835415567940664,HDL,(1 | FULLIDNO)
xsHDL,J774.ind,xsHDL,-1.0204962288861175,1.9514317128328411,0.16243265354453645,0.2842571437029388,HDL,HDL
xsHDL,J774.ind,avgBMI,-0.014851876583019077,0.07707294528563863,0.7813039658220851,0.7813039658220851,HDL,avgBMI
xsHDL,J774.ind,KCHCA_AGE_YR_CURRENT,0.04556117896366972,3.3065483533454034,0.06900428694096344,0.16989700345278258,HDL,KCHCA_AGE_YR_CURRENT
xsHDL,J774.ind,M0_KCVSEX,-0.28247412097750557,0.33013927192030673,0.5655770912304657,0.5655770912304657,HDL,M0_KCVSEX
xsHDL,J774.ind,(1 | FULLIDNO),2.9377744084613937,NA,0.08652988264975713,0.24845245276880026,HDL,(1 | FULLIDNO)
xsHDL,ABCA1.spec,xsHDL,1.3254336010936403,1.9833098103186453,0.15904215895893023,0.524410674364552,HDL,HDL
xsHDL,ABCA1.spec,avgBMI,0.030880939145467193,0.20075406707819143,0.6541128720631869,0.6541128720631869,HDL,avgBMI
xsHDL,ABCA1.spec,KCHCA_AGE_YR_CURRENT,0.06584995634715299,4.161404834333146,0.04135509036720144,0.04135509036720144,HDL,KCHCA_AGE_YR_CURRENT
xsHDL,ABCA1.spec,M0_KCVSEX,0.05356023757873858,0.007151041569205149,0.9326081544492709,0.9326081544492709,HDL,M0_KCVSEX
xsHDL,ABCA1.spec,(1 | FULLIDNO),1.127289860243991,NA,0.28835415567940664,0.28835415567940664,HDL,(1 | FULLIDNO)
tHDL,J774.ind,tHDL,0.13120824252932517,2.6536248178975512,0.10331407041691472,0.24106616430613437,HDL,HDL
tHDL,J774.ind,avgBMI,-0.051801779627388286,1.0323128088044864,0.3096160737826028,0.6361877730301996,HDL,avgBMI
tHDL,J774.ind,KCHCA_AGE_YR_CURRENT,0.036419293967594836,2.0766359437617883,0.14956949505051084,0.174497744225596,HDL,KCHCA_AGE_YR_CURRENT
tHDL,J774.ind,M0_KCVSEX,-0.6129662290148611,1.6843110049537573,0.19435260483246244,0.3489849528974453,HDL,M0_KCVSEX
tHDL,J774.ind,(1 | FULLIDNO),1.5068913364408445,NA,0.21961405431284378,0.24845245276880026,HDL,(1 | FULLIDNO)
tHDL,ABCA1.spec,tHDL,-0.06111550104114923,0.33516731342210343,0.5626321124882212,0.6564041312362581,HDL,HDL
tHDL,ABCA1.spec,avgBMI,0.06819843805219541,1.0416283206812622,0.30744306979518266,0.5834892465547277,HDL,avgBMI
tHDL,ABCA1.spec,KCHCA_AGE_YR_CURRENT,0.07176810883787367,4.694636761248071,0.03025689372999605,0.03961544137451067,HDL,KCHCA_AGE_YR_CURRENT
tHDL,ABCA1.spec,M0_KCVSEX,0.38046075393461937,0.37775649234978026,0.5388063759962795,0.8158920698773925,HDL,M0_KCVSEX
tHDL,ABCA1.spec,(1 | FULLIDNO),1.86401664286376,NA,0.17216193699157714,0.27813551570173095,HDL,(1 | FULLIDNO)
