##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	RS10252_S9_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	70916612
Sequences flagged as poor quality	0
Sequence length	50
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
2106	47	0.048403165507579615
2106	48	0.04020334497669609
2106	49	0.033378576000998805
2106	50	0.039892105976733205
2107	1	0.09877767003693805
2107	2	0.008692953808186132
2107	3	0.05392496675732872
2107	4	-0.015909310307208102
2107	5	0.03860920657088229
2107	6	0.02564626250625679
2107	7	0.03459373311440572
2107	8	0.012597806821709412
2107	9	0.01584199668019437
2107	10	0.04243817065906086
2107	11	0.0010663160821948736
2107	12	0.06819350704557081
2107	13	0.018491955266313198
2107	14	0.05052325674880365
2107	15	0.04909117105795957
2107	16	0.03490927451908732
2107	17	0.007393156691485103
2107	18	0.03260996610643474
2107	19	0.012818463752040543
2107	20	0.05507637493809625
2107	21	0.04247965105832208
2107	22	0.041624472723071904
2107	23	0.030376527383317864
2107	24	0.0731354933475501
2107	25	0.05081718768588672
2107	26	0.043682438835851656
2107	27	0.031485232604737234
2107	28	0.03309410921730205
2107	29	0.0484760594395226
2107	30	0.04062622536010707
2107	31	0.014437555243084432
2107	32	0.02136934910176791
2107	33	0.05310801108151253
2107	34	0.04755990803018051
2107	35	0.08560176910159356
2107	36	0.020597792562547568
2107	37	0.041046409990350696
2107	38	0.015448833944240903
2107	39	0.06771789438688813
2107	40	0.009543131394615045
2107	41	0.07399094848674537
2107	42	0.03054399417838738
2107	43	0.05079241515241506
2107	44	0.05198549430766519
2107	45	0.0649010556715055
2107	46	0.06684694464448171
2107	47	0.037141393377815746
2107	48	0.04221342664464345
2107	49	0.02828265126517948
2107	50	0.06660974941051734
2108	1	0.04741165897755906
2108	2	-0.0181309993829899
2108	3	-0.021167928709367345
2108	4	-0.011565714343106492
2108	5	0.0016136508387418758
2108	6	0.004169289371553475
2108	7	0.022155752250618832
2108	8	0.022339587247984127
2108	9	-0.009035610444996678
2108	10	0.0017977318779500706
2108	11	-0.015284180129413016
2108	12	0.04890727285025065
2108	13	-0.014952798521328248
2108	14	0.04381654635000842
2108	15	0.030913435133236078
2108	16	0.045911755884731065
2108	17	0.004939341045002266
2108	18	0.01198634711430202
2108	19	0.027214759278862743
2108	20	0.028313777452083855
2108	21	0.02612729348461329
2108	22	0.020635814668167995
2108	23	0.035305247657113625
2108	24	0.021765890304806135
2108	25	0.01845911975539849
2108	26	0.021361140423756808
2108	27	0.011449513501794684
2108	28	0.004085552705682005
2108	29	0.06046162471974981
2108	30	0.004853146789592699
2108	31	0.006092803582305351
2108	32	-0.007736502801954259
2108	33	0.032616835460039795
2108	34	-0.01691305762630435
2108	35	0.02998175247704893
2108	36	-0.03411934529133731
2108	37	6.677472871459145E-4
2108	38	-0.010278133433146763
2108	39	0.017539694798998084
2108	40	0.03812855536423854
2108	41	-0.002874390788214498
2108	42	-0.004925549691684239
2108	43	0.020196645541439295
2108	44	0.013244715977442922
2108	45	-2.13958853990448E-4
2108	46	-0.011080528327369166
2108	47	0.03179247303051369
2108	48	-0.027342664211126078
2108	49	0.0172068746508387
2108	50	0.03927122499040081
2109	1	0.036650297666568576
2109	2	0.009692016024018812
2109	3	0.022812121597958424
2109	4	0.0341329397461152
2109	5	0.06720720753205711
2109	6	0.06401429566619043
2109	7	0.05911372156015915
2109	8	0.02067301901925589
2109	9	0.01469380472114068
2109	10	0.05073245092634693
2109	11	0.021854780429357845
2109	12	0.060225935458682045
2109	13	0.03976407233746215
2109	14	0.06625246552053454
2109	15	0.05136885457356044
2109	16	0.05683544572906385
2109	17	0.05947383661693806
2109	18	0.010392882997507513
2109	19	0.057602017224503754
2109	20	0.05484347071564599
2109	21	0.006153722530541472
2109	22	0.07616456064224053
2109	23	0.020337014393305708
2109	24	0.058833713847811
2109	25	0.06086827573514597
2109	26	0.029856396300409926
2109	27	0.05243190005736409
2109	28	0.053644044630445364
2109	29	0.06432260833312142
2109	30	0.007188963555037731
2109	31	0.0625048493425453
2109	32	0.03628672289325152
2109	33	0.07558950008302645
2109	34	0.042388478061795354
2109	35	0.06544221050924648
2109	36	0.04632958409727905
2109	37	0.04756880851920897
