Sample_Name	seqs	align.perc	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS
RS102262	80664072	100	2457443819	2453387116		36795077	115612103	607816164	1693163772	0	0	0	800228	692364	681824	0.536133	0.463867		0.014998	0.047123	0.247746	0.690133	0.062121	0.062019	0	1.791538	3.539914	0.028441	5.358189
RS102263	45280996	100	1446530527	1444227011		41592286	132434378	515843433	754356914	0	0	0	939559	757737	782722	0.553562	0.446438		0.028799	0.091699	0.357176	0.522326	0.120498	0.120306	0	1.710111	3.37371	0.022677	9.154628
RS102270	50114588	100	1528380446	1525236127		26453561	50748112	585013172	863021282	0	0	0	444866	428762	209113	0.509217	0.490783		0.017344	0.033272	0.383556	0.565828	0.050616	0.050512	0	1.554577	3.304424	0.113253	12.190751
RS102271	35824854	100	1112988127	1110900308		27473336	77594429	403862049	601970494	0	0	0	572173	485243	435259	0.541105	0.458895		0.024731	0.069848	0.363545	0.541876	0.094579	0.094402	0	1.672205	3.427769	0.033788	9.157895
RS102276	45387239	100	1405386462	1403107352		27932042	81230713	471675747	822268850	0	0	0	587855	528707	442585	0.526487	0.473513		0.019907	0.057893	0.336165	0.586034	0.077801	0.077675	0	1.836099	3.692472	0.037134	11.357143
RS102283	101609730	100	3235065791	3230112699		110928363	357970019	1096599320	1664614997	0	0	0	2530392	1955669	2208861	0.564057	0.435943		0.034342	0.110823	0.339493	0.515343	0.145165	0.144942	0	1.741613	3.407172	0.002801	0.032237
RS102285	35142641	100	1073086014	1071377858		18738237	53720289	328720250	670199082	0	0	0	387783	352274	299132	0.523991	0.476009		0.01749	0.050141	0.30682	0.625549	0.067631	0.067524	0	1.882933	3.831281	0.039823	5.120712
RS102286	27380632	100	854990985	853726277		19086517	64233033	276606897	493799830	0	0	0	439293	384872	370249	0.533016	0.466984		0.022357	0.075238	0.324	0.578405	0.097595	0.097451	0	1.898434	3.670939	0.013217	0.198753
RS102289	159060126	100	4735255626	4727780345		128990723	379781089	1462276255	2756732278	0	0	0	2688482	2438792	2189038	0.524349	0.475651		0.027284	0.08033	0.309294	0.583092	0.107613	0.107443	0	1.92936	3.936942	0.016992	86.247525
RS102290	48132722	100	1521731313	1519499996		36316622	119181427	513953529	850048418	0	0	0	814632	713960	703015	0.53293	0.46707		0.0239	0.078435	0.338239	0.559426	0.102335	0.102185	0	1.897096	3.922046	0.021601	7.83908
RS102292	27288078	100	865682588	864173775		22033701	65945434	316747637	459447003	0	0	0	474850	393157	388497	0.547058	0.452942		0.025497	0.07631	0.366532	0.53166	0.101807	0.10163	0	1.766168	3.484277	0.023	1.685535
RS102294	32618623	100	1002052758	1000605235		20656645	68971624	299318540	611658426	0	0	0	468229	418083	397595	0.528289	0.471711		0.020644	0.06893	0.299137	0.611288	0.089574	0.089445	0	1.885406	3.791213	0.016254	0.974166
RS102297	30208859	100	939138653	937517331		20435515	54191448	343685455	519204913	0	0	0	413735	357217	289086	0.536655	0.463345		0.021797	0.057803	0.366591	0.553808	0.079601	0.079463	0	1.710937	3.321391	0.039415	3.272727
RS102299	82076893	100	2472411923	2467834624		37630824	111534687	660123235	1658545878	0	0	0	788580	701346	655224	0.529275	0.470725		0.015249	0.045195	0.267491	0.672065	0.060444	0.060332	0	1.806157	3.545007	0.032419	11.125
RS102309	63570647	100	1951215905	1948106582		38569751	99867356	675734104	1133935371	0	0	0	758007	697060	511371	0.520943	0.479057		0.019799	0.051264	0.346867	0.58207	0.071062	0.070949	0	1.78883	3.607293	0.041163	22.530055
RS102310	104805211	100	3265926392	3260741810		79195171	249141509	1076543132	1855861998	0	0	0	1781474	1450109	1471426	0.55127	0.44873		0.024287	0.076406	0.330153	0.569153	0.100694	0.100534	0	1.726838	3.46457	0.02304	8.746988
RS102329	82795645	100	2507899081	2503969434		36088233	112094890	598528009	1757258302	0	0	0	782557	679155	655062	0.53537	0.46463		0.014412	0.044767	0.239032	0.701789	0.059179	0.059087	0	1.788714	3.6005	0.025416	4.294118
RS102332	36476519	100	1173680624	1171748541		34469001	111547918	425159699	600571923	0	0	0	789514	633639	665825	0.554764	0.445236		0.029417	0.095198	0.362842	0.512543	0.124615	0.124409	0	1.75676	3.545781	0.022259	5.328571
RS102342	77060031	100	2363280979	2358487907		38798187	65293621	948439852	1305956247	0	0	0	617688	614449	220185	0.501314	0.498686		0.01645	0.027685	0.402139	0.553726	0.044135	0.044045	0	1.407233	3.12329	0.196256	11.695238
RS102349	41707666	100	1260425877	1257851336		25832011	59600756	462518571	709899998	0	0	0	479623	438819	284462	0.522214	0.477786		0.020537	0.047383	0.367705	0.564375	0.06792	0.067781	0	1.631144	3.467083	0.072045	12.089109
RS102351	160046889	100	4941981442	4934345610		150409645	527935197	1457115506	2798885262	0	0	0	3477211	3123640	3270037	0.526782	0.473218		0.030482	0.106992	0.295301	0.567225	0.137474	0.137262	0	2.051809	4.031375	0.007222	42.342489
RS102352	49074934	100	1501922344	1499367525		30499215	73437504	536236283	859194523	0	0	0	582478	523942	358030	0.526453	0.473547		0.020341	0.048979	0.357642	0.573038	0.06932	0.069202	0	1.608145	3.392402	0.059415	18.934109
